id,obligacion,inicio,fin,frecuencia,sujeto,condicion,norma,skill,fuente,verificado_el,notas
rue-fuentes-fijas,Declaracion de emisiones de fuentes fijas (RUEA),01-01,04-30,anual,Establecimientos con fuentes fijas afectas,tiene_calderas,DS 138/2005 MINSAL,retc,docs/investigacion/04-ley-rep-retc.md,2026-09-16,Se declara en la Ventanilla Unica del RETC. Aplica a las fuentes listadas en el art. 2 del decreto.
sinader-generadores,Declaracion anual de residuos generados el año anterior (SINADER),,03-30,anual,Establecimientos que generan mas de 12 toneladas al año,genera_residuos_industriales,DS 1/2013 MMA art. 25,retc,docs/investigacion/04-ley-rep-retc.md,2026-09-16,Se declara en la Ventanilla Unica del RETC.
sinader-destinatarios,Declaracion de residuos recibidos el año anterior,,03-30,anual,Destinatarios de residuos sobre 12 toneladas al año,genera_residuos_industriales,DS 1/2013 MMA art. 27,retc,docs/investigacion/04-ley-rep-retc.md,2026-09-16,Aplica a quien recibe residuos de terceros.
dae,Declaracion de Desempeño Ambiental y Empresarial (DAE),06-01,06-30,anual,Establecimientos registrados en la Ventanilla Unica,genera_residuos_industriales,Ventanilla Unica RETC,retc,docs/investigacion/04-ley-rep-retc.md,2026-09-16,
dja-retc,Declaracion Jurada Anual del RETC,10-01,10-31,anual,Encargado de cada establecimiento registrado,genera_residuos_industriales,DS 1/2013 MMA art. 16,retc,docs/investigacion/04-ley-rep-retc.md,2026-09-16,Es la declaracion que consolida el año en el RETC.
riles-autocontrol,Informe de autocontrol de residuos liquidos,,,mensual,Establecimientos con descarga regulada,descarga_riles,DS 90/2000 y DS 46/2002,retc,docs/investigacion/04-ley-rep-retc.md,2026-09-16,La frecuencia y los parametros los fija la resolucion de monitoreo de cada establecimiento.
sidrep,Declaracion y seguimiento de residuos peligrosos (SIDREP),,,por operacion,Generadores de residuos peligrosos,genera_residuos_industriales,DS 148/2003 MINSAL,retc,docs/investigacion/04-ley-rep-retc.md,2026-09-16,Cada movimiento de residuo peligroso se declara al momento de realizarlo.
impuesto-verde-trimestral,Reporte de emisiones para el impuesto verde,,,trimestral,Contribuyentes con fuentes afectas,fuente_fija_grande,Res. Ex. 585/2023 SMA,retc,docs/investigacion/04-ley-rep-retc.md,2026-09-16,Aplica a fuentes que superan los umbrales de material particulado o de CO2.
rep-declaracion,Declaracion anual de productos prioritarios puestos en el mercado,,,anual,Productores sujetos a la Ley REP,pone_productos_prioritarios,Ley 20.920 y decretos de metas,ley-rep,docs/investigacion/04-ley-rep-retc.md,2026-09-16,La fecha exacta la fija la convocatoria anual del Ministerio del Medio Ambiente: confirmar cada año.
rep-inscripcion,Inscripcion en el RETC y adhesion a un sistema de gestion,,,una vez,Productores nuevos de envases y embalajes,pone_productos_prioritarios,DS 12/2020 MMA art. 9,ley-rep,docs/investigacion/04-ley-rep-retc.md,2026-09-16,Dentro de los 4 meses siguientes a la primera introduccion del producto al mercado.
rep-cambio-sistema,Informar al Ministerio el cambio de sistema de gestion para el año siguiente,,06-30,anual,Productores de envases y embalajes,pone_productos_prioritarios,DS 12/2020 MMA art. 9,ley-rep,docs/investigacion/04-ley-rep-retc.md,2026-09-16,
karin-canales,Informar a las personas trabajadoras los canales de denuncia,,,semestral,Todo empleador en Chile,tiene_trabajadores,Art. 211-A del Codigo del Trabajo,ley-karin,docs/investigacion/03-ley-karin.md,2026-09-16,Obligacion semestral de informacion.
inclusion-comunicacion,Comunicacion anual de cumplimiento de la cuota de inclusion laboral,01-01,01-31,anual,Empresas de 100 o mas trabajadores,tiene_trabajadores,Ley 21.015,social-personas,docs/investigacion/05-chile-peru-gobernanza-clima-datos.md,2026-09-16,Se informa a la Direccion del Trabajo. Confirmar la ventana exacta del año en curso.
