"curso","nivel","leccion","minutos","objetivo","contenido_clave","pregunta","opciones","respuesta_correcta","explicacion"
"Fundamentos ESG","inicial","Que significa ESG","10","Explicar con tus palabras que mide cada letra de ESG y por que se miran juntas.","ESG son tres grupos de temas. Ambiental (E): energia, emisiones, agua, residuos. Social (S): seguridad, trato a las personas, proveedores, comunidad. Gobernanza (G): quien decide, como se controla y como se evitan los conflictos de interes. Se miran juntos porque un cliente, un banco o una autoridad evaluan los tres a la vez cuando miden el riesgo de trabajar con la empresa. ESG no es un folleto: es informacion de gestion que se puede medir y respaldar con documentos.","Una empresa mide muy bien sus emisiones pero no tiene canal para recibir denuncias de sus trabajadores. Que le falta?","Le falta la dimension ambiental|Le falta la dimension social y de gobernanza|No le falta nada: con medir emisiones basta","b","Medir emisiones cubre la parte ambiental. El canal de denuncias es parte de lo social y de la gobernanza, y en Chile ademas es una obligacion legal."
"Fundamentos ESG","inicial","Quien pide estos datos y por que","10","Reconocer quien pide informacion ESG y que busca cada uno.","Los datos ESG los piden cuatro tipos de actores. Clientes grandes y exportadores: necesitan la huella de sus proveedores para su propio alcance 3. Bancos e inversionistas: evaluan riesgo de credito y de reputacion. Autoridades: exigen declaraciones concretas segun el rubro y el tamano. Y el equipo interno: sin datos no se puede bajar el costo de la energia ni anticipar una multa. Saber quien pregunta ayuda a decidir que medir primero, porque no hay que medirlo todo de una vez.","Cual es la mejor razon para decidir que dato ESG medir primero?","Medir todo al mismo tiempo para no dejar nada fuera|Empezar por lo que pide quien tiene una fecha limite concreta|Empezar por lo mas facil aunque nadie lo pida","b","Si un cliente o una autoridad puso una fecha, ese dato ordena la prioridad. Medir todo de una vez suele terminar en planillas a medio llenar."
"Fundamentos ESG","inicial","Materialidad: elegir los temas que importan","12","Distinguir los temas relevantes de los que solo suenan bien.","Materialidad es el filtro que separa los temas que de verdad importan de los que solo decoran. Se mira desde dos lados: como afecta el tema a la empresa (costo, multa, perdida de un cliente) y como afecta la empresa al entorno y a las personas. Cuando se miran los dos lados se habla de doble materialidad, el enfoque que usa la normativa europea. En la practica: se listan los temas del rubro, se pregunta a quienes conocen la operacion, se ordenan y se escribe con que criterio se ordenaron. Lo que queda fuera tambien se anota, con su razon.","Que es la doble materialidad?","Medir cada dato dos veces para evitar errores|Mirar como el tema afecta a la empresa y como la empresa afecta al entorno y a las personas|Reportar en dos marcos distintos al mismo tiempo","b","Doble materialidad es mirar el tema en las dos direcciones: hacia la empresa y desde la empresa hacia afuera."
"Fundamentos ESG","inicial","El dato y su calidad","10","Etiquetar cada dato segun su origen y entender por que eso cambia su valor.","Cada dato se etiqueta segun de donde viene: estimado (lo calculo la empresa con un supuesto), reportado (viene de una boleta, una factura o un medidor) y verificado (un tercero independiente lo reviso). La etiqueta no es burocracia: define cuanto se puede afirmar con ese numero. Con datos estimados se ordenan prioridades; con datos reportados se fija una meta; con datos verificados se responde a una auditoria. Regla practica: si estimaste algo, escribe el supuesto al lado. Un supuesto anotado se puede defender; uno olvidado, no.","La empresa estimo el consumo de combustible por las horas de uso de la maquinaria. Como se etiqueta ese dato?","Verificado|Reportado|Estimado, y hay que anotar el supuesto usado","c","No viene de una factura ni de un tercero: es una estimacion propia y el supuesto debe quedar escrito."
"Fundamentos ESG","inicial","Quien hace que dentro de la empresa","10","Repartir responsabilidades ESG sin crear un area nueva.","En una empresa pequena o mediana no hace falta un area ESG. Hace falta saber quien responde por cada dato: quien tiene las boletas de electricidad, quien conoce los fletes, quien lleva remuneraciones y seguridad, quien firma ante la autoridad. Lo minimo que funciona: una persona coordinadora (no necesariamente experta), un responsable por cada dato y una revision con fecha fija en el calendario. La gerencia o el directorio debe conocer y aprobar lo que se publica: si la empresa afirma algo hacia afuera, alguien tiene que responder por esa afirmacion.","Que es lo minimo para empezar a gestionar ESG en una pyme?","Crear una gerencia de sostenibilidad|Contratar una certificacion|Definir una persona coordinadora y un responsable por cada dato","c","Lo que sostiene el trabajo es saber quien responde por cada dato y revisarlo con una frecuencia fija."
"Huella de carbono","inicial","Que es una huella de carbono","10","Explicar que mide una huella de carbono y en que unidad se expresa.","La huella de carbono de una organizacion es la suma de los gases de efecto invernadero asociados a su actividad en un periodo, normalmente un ano. Se expresa en kilos o toneladas de CO2 equivalente (CO2e): los distintos gases se llevan a una unidad comun usando su potencial de calentamiento global. La formula base es siempre la misma: cantidad de actividad multiplicada por un factor de emision. Si la empresa consumio 10.000 kWh, se multiplican esos kWh por el factor de la red electrica del pais. Lo dificil no es la formula: es conseguir la cantidad correcta y el factor correcto.","Cual es la formula base de cualquier calculo de huella?","Cantidad de actividad por factor de emision|Gasto en pesos dividido por el precio de la energia|Numero de trabajadores por dias trabajados","a","Siempre es cantidad por factor. Todo el trabajo esta en conseguir una cantidad confiable y un factor con fuente."
"Huella de carbono","inicial","Alcance 1: lo que la empresa quema","12","Identificar que consumos son alcance 1 en la propia operacion.","El alcance 1 son las emisiones directas: lo que la empresa quema o fuga con equipos que controla. Entran el diesel y la gasolina de vehiculos propios, el gas licuado o natural de calderas y cocinas, la lena o biomasa de un proceso, y las recargas de refrigerantes de equipos de frio y aire acondicionado. El dato se busca en las facturas de combustible, en las cargas de estanque y en las ordenes de servicio del tecnico de refrigeracion. Un olvido frecuente son los refrigerantes: una fuga pequena en kilos puede pesar mucho en CO2e.","Un flete contratado a una empresa de transporte externa, es alcance 1 de quien contrata el flete?","Si, porque la carga es suya|No: es alcance 3, porque el vehiculo no lo controla ella|Si, porque el camion trabaja para ella","b","El alcance 1 exige control del equipo. Un flete contratado a un tercero se cuenta en alcance 3."
"Huella de carbono","inicial","Alcance 2: la energia comprada","12","Calcular el alcance 2 y entender por que cambia el factor de la red.","El alcance 2 son las emisiones de la energia que la empresa compra y consume: electricidad, vapor, calor o frio de red. El dato esta en las boletas: kWh por mes y por medidor. Se multiplica por el factor de emision de la red del pais, que publica la autoridad y cambia cada ano segun cuanta generacion limpia hubo. Ese calculo se llama metodo por ubicacion. Existe ademas el metodo por mercado, que usa el factor del contrato o de los certificados de energia renovable que la empresa compro. Si la empresa afirma que usa electricidad renovable, tiene que poder mostrar ese contrato o esos certificados.","Por que el factor de emision de la electricidad cambia de un ano a otro?","Porque cambia el precio de la energia|Porque cambia la mezcla de generacion del sistema electrico|Porque cambia el numero de clientes de la distribuidora","b","El factor refleja con que se genero la electricidad ese ano. Por eso se usa el factor del ano del consumo."
"Huella de carbono","inicial","Alcance 3: la cadena de valor","15","Reconocer que categorias de alcance 3 son relevantes para el negocio.","El alcance 3 son las emisiones que ocurren fuera de la empresa pero por su causa: lo que compra, los fletes que contrata, los viajes, los residuos, el traslado de los trabajadores y el uso de lo que vende. El GHG Protocol define 15 categorias. En la mayoria de las empresas el alcance 3 es la mayor parte de la huella y es tambien el dato mas dificil de conseguir. No hay que medir las 15: se reportan las relevantes y se explica por que las otras no lo son. La regla practica es 80/20: identificar las dos o tres categorias que explican casi todo y mejorar el dato solo de esas.","Cuantas categorias de alcance 3 define el GHG Protocol y cuantas hay que medir?","15 categorias, y hay que medir las 15 siempre|15 categorias, y se miden las relevantes explicando por que las otras no lo son|3 categorias, una por alcance","b","Son 15. Se reportan las relevantes y se deja por escrito que quedo fuera y por que."
"Huella de carbono","inicial","Factores de emision: de donde salen","12","Elegir un factor de emision con fuente, ano y unidad correctos.","Un factor de emision dice cuanto CO2e genera una unidad de actividad: por kWh, por litro, por kilogramo o por tonelada-kilometro. Todo factor debe traer cuatro cosas: la fuente que lo publico, el ano, la unidad exacta y el pais o region al que aplica. Nunca se inventa un factor ni se copia sin fuente. Si el factor viene separado por gas (CO2, CH4, N2O), se lleva a CO2e con los potenciales de calentamiento global del informe del IPCC que se este usando, y al reportar hay que decir cual se uso, porque los valores cambian entre informes.","Que datos minimos debe traer un factor de emision para poder usarlo?","Solo el numero, si viene de una planilla conocida|Fuente, ano, unidad y pais o region al que aplica|El nombre de quien lo copio en la planilla","b","Sin fuente, ano y unidad el numero no se puede defender ante un cliente ni ante una auditoria."
